Model,MAE,MSE,R2
LinearRegression,82657.94605892441,10549721686.160313,0.9146454505137985
RobustRegression,199465.55955429334,61664910393.24955,0.5010881990728173
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.94662172231,10549717660.356379,0.9146454830853384
ElasticNet,99126.80843102589,15081376466.559586,0.8779812271613102
PolynomialRegression,83413.3642516998,10664698523.167692,0.913715208331487
SGDRegressor,5.505650565801701e+17,3.2059221588230854e+35,-2.5938128956818874e+24
ANN,199238.1740522207,61438261715.461235,0.5029219437307113
RandomForest,98269.79636962699,15006426036.96198,0.8785876280069831
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
